longitude,latitude,housing_median_age,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,NEAR BAY,NEAR OCEAN,rooms_per_household
-122.23,37.88,41.0,129.0,322.0,126.0,8.3252,452600.0,0.0,0.0,1.0,0.0,6.984126984126984
-122.22,37.86,21.0,1106.0,2401.0,1138.0,8.3014,358500.0,0.0,0.0,1.0,0.0,6.238137082601054
-122.24,37.85,52.0,190.0,496.0,177.0,7.2574,352100.0,0.0,0.0,1.0,0.0,8.288135593220339
-122.25,37.85,52.0,235.0,558.0,219.0,5.6431,341300.0,0.0,0.0,1.0,0.0,5.8173515981735155
-122.25,37.85,52.0,280.0,565.0,259.0,3.8462,342200.0,0.0,0.0,1.0,0.0,6.281853281853282
-122.25,37.85,52.0,213.0,413.0,193.0,4.0368,269700.0,0.0,0.0,1.0,0.0,4.761658031088083
-122.25,37.84,52.0,489.0,1094.0,514.0,3.6591,299200.0,0.0,0.0,1.0,0.0,4.9319066147859925
-122.25,37.84,52.0,687.0,1157.0,647.0,3.12,241400.0,0.0,0.0,1.0,0.0,4.797527047913447
-122.26,37.84,42.0,665.0,1206.0,595.0,2.0804,226700.0,0.0,0.0,1.0,0.0,4.294117647058823
-122.25,37.84,52.0,707.0,1551.0,714.0,3.6912,261100.0,0.0,0.0,1.0,0.0,4.970588235294118
-122.26,37.85,52.0,434.0,910.0,402.0,3.2031,281500.0,0.0,0.0,1.0,0.0,5.477611940298507
-122.26,37.85,52.0,752.0,1504.0,734.0,3.2705,241800.0,0.0,0.0,1.0,0.0,4.772479564032698
-122.26,37.85,52.0,474.0,1098.0,468.0,3.075,213500.0,0.0,0.0,1.0,0.0,5.322649572649572
-122.26,37.84,52.0,191.0,345.0,174.0,2.6736,191300.0,0.0,0.0,1.0,0.0,4.0
-122.26,37.85,52.0,626.0,1212.0,620.0,1.9167,159200.0,0.0,0.0,1.0,0.0,4.262903225806451
-122.26,37.85,50.0,283.0,697.0,264.0,2.125,140000.0,0.0,0.0,1.0,0.0,4.242424242424242
-122.27,37.85,52.0,347.0,793.0,331.0,2.775,152500.0,0.0,0.0,1.0,0.0,5.9395770392749245
-122.27,37.85,52.0,293.0,648.0,303.0,2.1202,155500.0,0.0,0.0,1.0,0.0,4.052805280528053
-122.26,37.84,50.0,455.0,990.0,419.0,1.9911,158700.0,0.0,0.0,1.0,0.0,5.343675417661098
-122.27,37.84,52.0,298.0,690.0,275.0,2.6033,162900.0,0.0,0.0,1.0,0.0,5.465454545454546
-122.27,37.85,40.0,184.0,409.0,166.0,1.3578,147500.0,0.0,0.0,1.0,0.0,4.524096385542169
-122.27,37.85,42.0,367.0,929.0,366.0,1.7135,159800.0,0.0,0.0,1.0,0.0,4.478142076502732
-122.27,37.84,52.0,541.0,1015.0,478.0,1.725,113900.0,0.0,0.0,1.0,0.0,5.096234309623431
-122.27,37.84,52.0,337.0,853.0,325.0,2.1806,99700.0,0.0,0.0,1.0,0.0,5.193846153846154
-122.27,37.84,52.0,437.0,1006.0,422.0,2.6,132600.0,0.0,0.0,1.0,0.0,5.270142180094787
-122.28,37.85,41.0,123.0,317.0,119.0,2.4038,107500.0,0.0,0.0,1.0,0.0,4.495798319327731
-122.28,37.85,49.0,244.0,607.0,239.0,2.4597,93800.0,0.0,0.0,1.0,0.0,4.7280334728033475
-122.28,37.85,52.0,421.0,1102.0,397.0,1.808,105500.0,0.0,0.0,1.0,0.0,4.7808564231738035
-122.28,37.84,50.0,492.0,1131.0,473.0,1.6424,108900.0,0.0,0.0,1.0,0.0,4.40169133192389
-122.28,37.84,52.0,160.0,395.0,155.0,1.6875,132000.0,0.0,0.0,1.0,0.0,4.703225806451613
-122.28,37.84,49.0,447.0,863.0,378.0,1.9274,122300.0,0.0,0.0,1.0,0.0,5.068783068783069
-122.28,37.84,52.0,481.0,1168.0,441.0,1.9615,115200.0,0.0,0.0,1.0,0.0,4.882086167800454
-122.27,37.84,48.0,409.0,1026.0,335.0,1.7969,110400.0,0.0,0.0,1.0,0.0,5.737313432835821
-122.27,37.83,49.0,366.0,754.0,329.0,1.375,104900.0,0.0,0.0,1.0,0.0,5.0303951367781155
-122.27,37.83,51.0,574.0,1258.0,536.0,2.7303,109700.0,0.0,0.0,1.0,0.0,4.972014925373134
-122.27,37.83,49.0,282.0,570.0,264.0,1.4861,97200.0,0.0,0.0,1.0,0.0,4.6022727272727275
-122.27,37.83,48.0,432.0,987.0,374.0,1.0972,104500.0,0.0,0.0,1.0,0.0,4.807486631016043
-122.28,37.83,52.0,390.0,901.0,403.0,1.4103,103900.0,0.0,0.0,1.0,0.0,3.7493796526054592
-122.26,37.83,52.0,330.0,689.0,309.0,3.48,191400.0,0.0,0.0,1.0,0.0,4.757281553398058
-122.26,37.83,52.0,715.0,1377.0,696.0,2.5898,176000.0,0.0,0.0,1.0,0.0,3.4942528735632186
