Gender,Card_Category,Missing_Income,Income_Category,Missing_Education,Education_Level,Marital_Divorced,Marital_Married,Marital_Single,Marital_Unknown,Customer_Age,Avg_Utilization_Ratio,Avg_Open_To_Buy,Total_Trans_Amt,Dependent_count,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1,Total_Ct_Chng_Q4_Q1,Attrition
1,1,0,4,0,1,0,1,0,0,45,0.061,11914.0,1144,3,5,1,3,777,1.335,1.625,0
0,1,0,1,0,2,0,0,1,0,49,0.105,7392.0,1291,5,6,1,2,864,1.541,3.714,0
1,1,0,3,0,2,0,1,0,0,51,0.0,3418.0,1887,3,4,1,0,0,2.594,2.333,0
0,1,0,1,0,1,0,0,0,1,40,0.76,796.0,1171,4,3,4,1,2517,1.405,2.333,0
1,1,0,4,0,3,0,1,0,0,40,0.0,4716.0,816,3,5,1,0,0,2.175,2.5,0
1,1,0,2,0,2,0,1,0,0,44,0.311,2763.0,1088,2,3,1,2,1247,1.376,0.846,0
1,3,0,5,1,2,0,1,0,0,51,0.066,32252.0,1330,4,6,1,3,2264,1.975,0.722,0
1,2,0,4,0,1,0,0,0,1,32,0.048,27685.0,1538,0,2,2,2,1396,2.204,0.714,0
1,1,0,4,0,3,0,0,1,0,37,0.113,19835.0,1350,3,5,2,0,2517,3.355,1.182,0
1,1,0,3,0,2,0,0,1,0,48,0.144,9979.0,1441,2,6,3,3,1677,1.524,0.882,0
1,1,0,5,0,3,0,0,0,1,42,0.217,5281.0,1201,5,5,3,2,1467,0.831,0.68,0
1,1,0,2,1,2,0,1,0,0,65,0.174,7508.0,1314,1,6,2,3,1587,1.433,1.364,0
1,1,0,3,0,4,0,0,1,0,56,0.0,11751.0,1539,1,3,6,0,0,3.397,3.25,0
1,1,0,4,0,2,0,0,0,1,35,0.195,6881.0,1311,3,5,1,3,1666,1.163,2.0,0
0,1,0,1,0,2,0,1,0,0,57,0.279,1756.0,1570,2,5,2,2,680,1.19,0.611,0
1,1,0,3,1,2,0,0,0,1,44,0.23,3262.0,1348,4,5,1,2,972,1.707,1.7,0
1,1,0,3,0,5,0,0,1,0,48,0.078,28005.0,1671,4,6,2,3,2362,1.708,0.929,0
1,1,0,3,1,2,0,1,0,0,41,0.095,12244.0,1028,3,4,4,1,1291,0.653,1.625,0
1,1,0,2,0,1,0,1,0,0,61,0.788,676.0,1336,1,2,2,3,2517,1.831,1.143,0
0,1,1,1,0,2,0,1,0,0,45,0.08,13313.0,1207,2,6,1,2,1157,0.966,0.909,0
1,1,0,4,0,6,1,0,0,0,47,0.086,19179.0,1178,1,5,2,0,1800,0.906,0.929,0
0,1,0,1,0,2,0,1,0,0,62,0.0,1438.3,692,0,2,3,3,0,1.047,0.6,1
